review,worker,rating
4327,0,5
4327,1,4
4327,2,5
4328,0,3
4328,3,4
4328,4,5
4329,1,5
4329,2,5
4329,5,4
4330,5,3
4330,2,4
4330,0,4
4331,1,5
4331,2,4
4331,4,4
2382,0,1
2382,4,2
2382,1,1
2383,0,2
2383,5,3
2383,3,3
2391,4,4
2391,2,4
2391,1,5
2392,3,2
2392,4,2
2392,5,1
2394,1,3
2394,4,4
2394,5,2
